video,fps,resolution,duration_s,sampled_frames,frame_step
WIN_20260114_17_14_30_Pro.mp4,14.93437491025015,1920x1080,17.41,87,3
WIN_20260114_17_16_08_Pro.mp4,14.933489861627837,1920x1080,23.17,116,3
WIN_20260114_17_16_49_Pro.mp4,14.941162731588022,1920x1080,19.41,97,3
